pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,st_met,spec_F,spec_G,spec_K,spec_M,spec_m,st_lum,temp_score,dist_score,lum_score,stellar_temp_score,stellar_mass_score,stellar_compatibility_index,orbital_stability,Habitability_Score,Rank
0.5169564805595357,0.0316209969730112,2.9089168,0.0333,0.1579098478323284,0.1078368567157805,0.59,0.58,0.19,0.0,0.0,0.0,1.0,0.0,4.2234052417440364e-20,0.0,0.3555333333333333,0.5,-5776.892163143285,0.7789473684210526,0.3894736842105263,0.0002653888477808,0.9927494357824714,28
0.4047342487835277,0.1361386744465951,8.275479,0.0831,0.2632787826586275,0.5981208626948538,1.236,1.118,0.32,0.0,0.0,1.0,0.0,0.0,1.7542140926716303e-16,0.0,0.3887333333333332,0.5000000000000001,-5776.401879137306,0.9378947368421052,0.4689473684210526,0.0018840885065753,0.9913224148042966,29
0.4403526092696723,0.0234413526489916,3.4913885,0.05018,0.4246339362618432,0.718129404228059,1.434,1.382,0.294,0.0,0.0,1.0,0.0,0.0,4.906807164940682e-16,0.0,0.3667866666666667,0.5000000000000002,-5776.2818705957725,0.7989473684210526,0.3994736842105263,0.0004799941778904,0.9910132712654206,30
0.4510869094695247,0.0089452052085191,5.983944,0.0672,0.34137238013207,0.5560538116591929,1.686,1.13,0.241,0.0,0.0,1.0,0.0,0.0,2.4382165734528686e-16,0.0,0.3781333333333333,0.5000000000000001,-5776.443946188342,0.9315789473684212,0.4657894736842105,0.0011017014706849,0.9840232228352835,31
0.3997760928278556,0.0158248045144143,8.79758977,0.0712,0.1047947171978179,0.1672005124919923,0.594,0.619,0.42,0.0,0.0,1.0,0.0,0.0,2.4740766872764506e-19,0.0,0.3808,0.5,-5776.832799487509,0.7994736842105263,0.3997368421052631,0.0017161325797917,0.981607149349429,32
0.3471593643105153,0.0125351602169654,21.491984,0.1515,0.1592305483778351,0.5622464232329705,1.055,1.005,0.165,0.0,0.0,1.0,0.0,0.0,9.979334371944984e-17,0.0,0.4343333333333333,0.5,-5776.437753576768,0.9973684210526316,0.4986842105263158,0.0089206454136986,0.9789138538745629,33
0.444611608465126,0.0890295380830822,2.002849,0.0272,0.2227964398507033,0.2111894084988255,0.646,0.666,0.14,0.0,0.0,1.0,0.0,0.0,7.448064367122982e-19,0.0,0.3514666666666667,0.5,-5776.788810591502,0.8242105263157895,0.4121052631578947,0.0001492534049315,0.9682161396717553,34
0.3803381112138063,0.0179882564329785,6.387597,0.052,0.11541774332472,0.1392269912449284,0.54,0.53,0.376,0.0,0.0,0.0,1.0,0.0,9.83039845475851e-20,0.0,0.368,0.5,-5776.860773008756,0.7526315789473684,0.3763157894736842,0.000910013819178,0.9555098683673502,35
0.3442318280110908,0.0044787857012471,14.844261,0.131,0.1670973298880275,0.6199017723681401,0.897,1.03,0.06,0.0,0.0,1.0,0.0,0.0,1.066022198161034e-16,0.0,0.4206666666666666,0.5,-5776.3800982276325,0.9842105263157894,0.4921052631578947,0.0053276662767123,0.9353483660282852,36
0.3774105749143818,0.0135803369915583,6.402513,0.0708,0.3517082974447315,0.7245355541319667,1.415,1.313,0.09,1.0,0.0,0.0,0.0,0.0,4.950414192800084e-16,0.0,0.3805333333333333,0.5000000000000002,-5776.275464445869,0.8352631578947369,0.4176315789473684,0.0012419121106849,0.9099339127747634,37
0.3208115363098071,0.0044787857012471,14.334892,0.1228,0.2164800459374102,0.5697202647875295,1.38,1.22,0.06,0.0,0.0,1.0,0.0,0.0,1.800091961908296e-16,0.0,0.4152,0.5000000000000001,-5776.430279735213,0.8842105263157894,0.4421052631578947,0.0048228075002739,0.8751561966008824,38
0.2018534778422166,0.0030139761398974,24.283377,0.166,0.1263250071777203,0.5716421097587017,0.9574,1.0258,0.147,0.0,0.0,1.0,0.0,0.0,8.781597951278162e-17,0.0,0.444,0.5,-5776.428357890242,0.986421052631579,0.4932105263157895,0.0110439467999999,0.7620490557904378,39
0.2552577317446151,0.0044709219115082,4.5445828,0.0361,0.079816250358886,0.0369421311125346,0.302,0.298,0.04,0.0,0.0,1.0,0.0,0.0,1.5240229859677096e-22,0.0,0.3574,0.5,-5776.963057868888,0.6305263157894737,0.3152631578947368,0.0004494779152876,0.2584723699340042,40
0.1433865907856006,0.0044787857012471,17.8999,0.1439,0.2319839219064024,0.6711509715994022,1.241,1.24,0.18,1.0,0.0,0.0,0.0,0.0,2.8035887325141027e-16,0.0,0.4292666666666667,0.5000000000000002,-5776.328849028401,0.8736842105263158,0.4368421052631579,0.0070569742739726,0.25437651116152044,41
0.0927616347796341,0.0023419795622163,25.1292,0.1726,0.136089577950043,0.6115737774930601,1.044,1.09,0.049,0.0,0.0,1.0,0.0,0.0,1.3680005459805667e-16,0.0,0.4484,0.5,-5776.388426222507,0.9526315789473684,0.4763157894736842,0.011883013479452,0.21839704320904443,42
0.1873689257369579,0.0044787857012471,5.690476,0.0599,0.2024117140396209,0.5665171898355756,1.021,1.03,0.06,0.0,1.0,0.0,0.0,0.0,9.6337129762774e-17,0.0,0.3732666666666666,0.5,-5776.4334828101655,0.9842105263157894,0.4921052631578947,0.0009338616778082,0.19149665855712983,43
0.2025868832775305,0.0044787857012471,4.872171,0.06,0.2024117140396209,0.560324578261798,1.02283,1.0,0.06,0.0,0.0,1.0,0.0,0.0,9.252422515653897e-17,0.0,0.3733333333333334,0.5,-5776.439675421739,1.0,0.5,0.0008009048219178,0.12512627665161746,44
0.2038927720824995,0.003185549734199,1.977143,0.025,0.1355153603215618,0.108263933376041,0.42,0.42,0.17,0.0,0.0,0.0,1.0,0.0,2.1743208828133415e-20,0.0,0.35,0.5,-5776.891736066625,0.6947368421052631,0.3473684210526315,0.0001354207534246,0.12052347375184783,45
0.1346806654191404,0.0044787857012471,16.736888935,0.129365,0.2024117140396209,0.5876574845184712,1.0,1.03,0.06,0.0,0.0,1.0,0.0,0.0,1.0700077840696255e-16,0.0,0.4195766666666666,0.5,-5776.412342515482,0.9842105263157894,0.4921052631578947,0.0059319661289761,0.11255080635517838,46
0.0851448494060718,0.0044787857012471,18.85969,0.1108,0.0849842090152167,0.1432842195174033,0.744,0.51,0.23,0.0,0.0,1.0,0.0,0.0,2.0932889003444372e-19,0.0,0.4072,0.5,-5776.856715780484,0.7421052631578947,0.3710526315789473,0.0057250784986301,0.05686668028739557,47
0.1607984415185211,0.0044787857012471,2.702969,0.033,0.1556129773184036,0.1116805466581251,0.567,0.548,0.21,0.0,0.0,1.0,0.0,0.0,4.487103551279418e-20,0.0,0.3553333333333334,0.5,-5776.888319453343,0.7621052631578947,0.3810526315789473,0.000244378019178,0.05465983786023454,48
0.1014441081243422,0.0013697291945074,6.527363,0.073,0.2773069193224232,0.6406149903907752,1.3174,1.1973,0.215,0.0,0.0,1.0,0.0,0.0,2.6224882796211086e-16,0.0,0.382,0.5000000000000001,-5776.35938500961,0.896157894736842,0.448078947368421,0.0013054725999999,0.04326751396191229,49
0.0943722309724293,0.0025421487555681,8.0240015,0.0578,0.0780935974734424,0.0775144138372837,0.413,0.397,0.34,0.0,0.0,1.0,0.0,0.0,5.524841488087078e-21,0.0,0.3718666666666667,0.5,-5776.922485586164,0.6826315789473685,0.3413157894736842,0.0012706501005479,0.041142991683661354,50
0.1098687781247286,0.0067885952145319,2.500311,0.0229,0.0935974734424346,0.0380098227631859,0.2775,0.255,0.336,0.0,0.0,0.0,1.0,0.0,1.4421127049876424e-22,0.0,0.3486,0.5,-5776.961990177238,0.6078947368421053,0.3039473684210526,0.0001568688271232,0.04067571342401239,51
