planet_name,host_star_name,radius_earth,pl_radj,mass_earth,pl_massj,orbital_period,semimajor_axis,eq_temp_k,density,star_temp_k,star_luminosity,star_metallicity,star_spectype,habitability_score,stellar_compatibility,orbital_stability,star_A,star_B,star_F,star_G,star_K,star_M,star_Unknown,radius_earth_scaled,mass_earth_scaled,orbital_period_scaled,semimajor_axis_scaled,eq_temp_k_scaled,density_scaled,star_temp_k_scaled,star_luminosity_scaled,star_metallicity_scaled,habitable_binary
55 Cnc B c,55 Cnc B,2.42,,196.050555,,33.747,0.13,811.0,1.33,3286.0,-0.02687,0.16,M4.5 V,0.6074189989431872,0.5,1.6840090630184155,False,False,False,False,False,True,False,0.0,0.0,0.7419627132825721,0.13097216841421197,0.0,0.0,-2.5058791359037462,0.0,0.8571428571428571,0
55 Cnc b,55 Cnc,2.42,,266.966,0.84,14.465314,0.11339,811.0,1.33,5250.0,-0.19695,0.35,G0 V,0.6074189989431872,1.0,0.9708629872833237,False,False,False,True,False,False,False,0.0,70.915445,0.11060812742859949,0.047939812789782175,0.0,0.0,-0.3576702214930271,-0.17007999999999998,1.7619047619047619,0
55 Cnc c,55 Cnc,2.42,,56.6985,0.1784,44.373,0.23735,811.0,1.33,5250.0,-0.19695,0.35,G0 V,0.6074189989431872,1.0,2.4451198441012383,False,False,False,True,False,False,False,0.0,-139.352055,1.089897734591617,0.6676081332716798,0.0,0.0,-0.3576702214930271,-0.17007999999999998,1.7619047619047619,0
55 Cnc d,55 Cnc,2.42,,1226.77,3.86,4867.0,5.446,811.0,1.33,5250.0,-0.19695,0.35,G0 V,0.6074189989431872,1.0,10.185152131133004,False,False,False,True,False,False,False,0.0,1030.719445,159.00076052497135,26.705325118412336,0.0,0.0,-0.3576702214930271,-0.17007999999999998,1.7619047619047619,0
55 Cnc e,55 Cnc,2.08,0.18556517,7.81,0.02457288,0.7365437,0.01544,1958.0,4.78,5234.0,-0.02687,0.31,G0 V,0.4269513645492844,1.0,0.011308056971321756,False,False,False,True,False,False,False,-0.2741935483870966,-188.240555,-0.3389232095634467,-0.4417061374457928,3.2492917847025495,3.45,-0.375170905113481,0.0,1.5714285714285716,0
55 Cnc f,55 Cnc,2.42,,47.0051,0.1479,260.91,0.7733,811.0,1.33,5250.0,-0.19695,0.35,G0 V,0.6074189989431872,1.0,5.312031412661399,False,False,False,True,False,False,False,0.0,-149.045455,8.180129779500017,3.3467888073784318,0.0,0.0,-0.3576702214930271,-0.17007999999999998,1.7619047619047619,0
6 Lyn b,6 Lyn,2.42,,196.050555,,934.3,2.11,811.0,1.33,4938.0,-0.02687,-0.02,G0 V,0.6074189989431872,1.0,7.586992665349362,False,False,False,True,False,False,False,0.0,0.0,30.22943939735224,10.028868865366109,0.0,0.0,-0.6989335520918786,0.0,0.0,0
61 Vir b,61 Vir,2.42,,196.050555,,4.215,0.050201,811.0,1.33,5577.0,-0.095,-0.01,G5 V,0.6074189989431872,1.0,0.1919395015548996,False,False,False,True,False,False,False,0.0,0.0,-0.2250255277581501,-0.26793806316157814,0.0,0.0,0.0,-0.06813,0.04761904761904762,0
61 Vir c,61 Vir,2.42,,196.050555,,38.0957,0.2151,811.0,1.33,5585.57,-0.02687,0.0275,G0 V,0.6074189989431872,1.0,2.2185929792565977,False,False,False,True,False,False,False,0.0,0.0,0.8843554318188646,0.5563817688741143,0.0,0.0,0.009373803664205314,0.0,0.2261904761904762,0
61 Vir d,61 Vir,2.42,,196.050555,,123.01,0.476,811.0,1.33,5577.0,-0.095,-0.01,G5 V,0.6074189989431872,1.0,4.086862642334345,False,False,False,True,False,False,False,0.0,0.0,3.6647675134998954,1.8606046215179273,0.0,0.0,0.0,-0.06813,0.04761904761904762,0
