pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,st_met,spec_F,spec_G,spec_K,spec_M,spec_m,st_lum,temp_score,radius_score,dist_score,lum_score,habitability_score,habitable,stellar_temp_score,stellar_mass_score,stellar_compatibility_index,orbital_stability
HIP 67522 b,0.4101013986658057,0.0044787857012471,6.9594731,0.0748,0.2905541200114843,0.5697202647875295,1.38,1.22,0.06,False,False,True,False,False,1.800091961908296e-16,0.0,0.7050506993329029,0.3832,0.5000000000000001,0.4714060877694987,1,-5776.430279735213,0.8842105263157894,0.4421052631578947,0.0014262153092602
HIP 67522 c,0.3208115363098071,0.0044787857012471,14.334892,0.1228,0.2164800459374102,0.5697202647875295,1.38,1.22,0.06,False,False,True,False,False,1.800091961908296e-16,0.0,0.6604057681549035,0.4152,0.5000000000000001,0.4469829215471144,1,-5776.430279735213,0.8842105263157894,0.4421052631578947,0.0048228075002739
HIP 8152 b,0.0857646142210959,0.0010837732040048,10.751014,0.093,0.1814412862474878,0.5575485799701048,0.9603,0.9373,0.007,False,False,True,False,False,7.995296315334022e-17,0.0,0.542882307110548,0.3953333333333333,0.5,0.1816195218443965,0,-5776.442451420031,0.967,0.4835,0.0027392994575342
HIP 8152 c,0.0852495129114199,0.0013411335954572,19.60562,0.139,0.1400172265288544,0.5575485799701048,0.9603,0.9373,0.007,False,False,True,False,False,7.995296315334022e-17,0.0,0.54262475645571,0.426,0.5,0.2403534828741591,0,-5776.442451420031,0.967,0.4835,0.0074662498082191
HIP 97166 b,0.0833215300210949,0.0025421487555681,10.288914,0.091,0.15465403387884,0.4717061712577408,0.8418,0.9342,0.248,False,False,True,False,False,3.14770428414019e-17,0.0,0.5416607650105474,0.394,0.5,0.1766848846757609,0,-5776.528293828743,0.9653684210526317,0.4826842105263157,0.0025651812986301
HR 858 b,0.0625956033848493,0.0003188409294104,3.585287,0.04888,0.3987941429801894,0.714712790945975,1.258,1.204,0.025,False,False,True,False,False,3.7049073380698573e-16,0.0,0.5312978016924247,0.36592,0.5000000000000002,0.1024338769017472,0,-5776.285287209055,0.8926315789473684,0.4463157894736842,0.0004801337768767
HR 858 c,0.0615073627140418,0.0003545854282232,5.973865,0.0687,0.3290267011197244,0.714712790945975,1.258,1.204,0.025,False,False,True,False,False,3.7049073380698573e-16,0.0,0.5307536813570208,0.3791333333333333,0.5000000000000002,0.1269039424639522,0,-5776.285287209055,0.8926315789473684,0.4463157894736842,0.0011243959602739
HR 858 d,0.0624650145043524,0.0008264128125525,11.230511,0.1046,0.2578237151880562,0.714712790945975,1.258,1.204,0.025,False,False,True,False,False,3.7049073380698573e-16,0.0,0.5312325072521762,0.4030666666666667,0.5000000000000002,0.1740550272972196,0,-5776.285287209055,0.8926315789473684,0.4463157894736842,0.0032183875358904
IRAS 04125+2902 b,0.4427922228525259,0.0044787857012471,8.834978,0.077,0.1983921906402526,0.2291266282297673,1.45,0.7,0.06,False,False,True,False,False,5.199099286459591e-18,0.0,0.7213961114262629,0.3846666666666666,0.5,0.5058093877320329,1,-5776.770873371771,0.8421052631578947,0.4210526315789473,0.0018638172767123
LHS 1678 b,0.0051800255930438,0.0044787857012471,0.8602325,0.01239,0.2024117140396209,0.1031390134529147,0.329,0.345,0.06,False,False,False,True,False,1.0989388772950152e-20,0.0,0.5025900127965219,0.3415933333333333,0.5,0.0,0,-5776.896860986548,0.6552631578947368,0.3276315789473684,2.92007689726032e-05
LHS 1678 c,0.016323610062113,0.0044787857012471,3.694284,0.0327,0.2024117140396209,0.1031390134529147,0.329,0.345,0.06,False,False,False,True,False,1.0989388772950152e-20,0.0,0.5081618050310566,0.3551333333333333,0.5,0.0369136432599823,0,-5776.896860986548,0.6552631578947368,0.3276315789473684,0.0003309673610958
LHS 1678 d,0.018064795135405,0.0044787857012471,4.9652229,0.04,0.2024117140396209,0.1031390134529147,0.329,0.345,0.06,False,False,False,True,False,1.0989388772950152e-20,0.0,0.5090323975677025,0.36,0.5,0.0479949242263195,0,-5776.896860986548,0.6552631578947368,0.3276315789473684,0.0005441340164383
LHS 3844 b,0.032081334975406,0.0044787857012471,0.46292913,0.00622,0.1843238587424633,0.0061926115737774,0.189,0.151,0.06,False,False,False,True,False,4.713123487711255e-26,0.0,0.516040667487703,0.33748,0.5,0.0180346534421085,0,-5776.993807388427,0.5531578947368421,0.276578947368421,7.888819694794901e-06
LHS 475 b,0.018500091403728,0.0044787857012471,2.029088,0.06,0.1214470284237725,0.0625667307281656,0.2789,0.262,0.06,False,False,False,True,False,1.0694506007932426e-21,0.0,0.509250045701864,0.3733333333333334,0.5,0.0741680894415557,0,-5776.937433269272,0.611578947368421,0.3057894736842105,0.0003335487123287
LP 714-47 b,0.1799514773247338,0.0042149913000084,4.052037,0.0417,0.1541774332472006,0.2013666453128337,0.584,0.59,0.41,False,False,False,True,False,5.031131676902912e-19,0.0,0.5899757386623669,0.3611333333333333,0.5,0.20652265635215,0,-5776.798633354688,0.7842105263157895,0.3921052631578947,0.0004629313504109
LTT 1445 A b,0.0336919311682012,0.0002015989733043,5.3587635,0.0381,0.07694516221648,0.4894298526585523,0.271,0.257,0.06,False,False,True,False,False,3.780857017680669e-18,0.0,0.5168459655841007,0.3587333333333333,0.5,0.0606399958091716,0,-5776.510570147342,0.6089473684210527,0.3044736842105263,0.0005593668201369
LTT 3780 b,0.0330389867657167,0.0001629949145864,0.76837931,0.01195,0.2124605225380419,0.0749519538757206,0.38,0.381,0.06,False,False,True,False,False,4.088734190901839e-21,0.0,0.5165194933828583,0.3413,0.5,0.0263376594387829,0,-5776.925048046125,0.6742105263157895,0.3371052631578947,2.515652809452008e-05
LTT 3780 c,0.0793980393421176,0.0009608121280887,12.252284,0.0757,0.056273327591157,0.0749519538757206,0.38,0.381,0.06,False,False,True,False,False,4.088734190901839e-21,0.0,0.5396990196710588,0.3838,0.5,0.1531949720934435,0,-5776.925048046125,0.6742105263157895,0.3371052631578947,0.0025410901336986
LTT 9779 b,0.1808220698613798,0.0040033838670365,0.792052,0.01679,0.5211024978466838,0.5201793721973096,0.949,1.02,0.27,False,True,False,False,False,5.91609010010047e-17,0.0,0.5904110349306899,0.3445266666666666,0.5,0.175288317333393,0,-5776.479820627804,0.9894736842105264,0.4947368421052631,3.643439200000103e-05
NGTS-35 b,0.4498351636850021,0.0215439243244665,25.241192,0.16,0.082687338501292,0.3651505445227418,0.753,0.789,0.085,False,False,True,False,False,9.044147004727082e-18,0.0,0.724917581842501,0.44,0.5,0.6194850285660838,1,-5776.634849455479,0.8889473684210526,0.4444736842105263,0.011064632109589
TIC 139270665 b,0.2900724029893698,0.0208511319462424,23.624,0.163,0.1550387596899224,0.605808242579543,1.016,1.035,0.156,False,True,False,False,False,1.2474351516084915e-16,0.0,0.6450362014946849,0.442,0.5,0.4690603349803384,1,-5776.394191757421,0.9815789473684212,0.4907894736842105,0.0105498958904109
TIC 237913194 b,0.5203728780742853,0.0880609851263305,15.168865,0.1207,0.2328452483491242,0.5938500960922486,1.088,1.026,0.14,False,True,False,False,False,1.32085445406824e-16,0.0,0.7601864390371427,0.4138,0.5,0.6370011544819891,1,-5776.406149903909,0.986315789473684,0.4931578947368421,0.0050161150835616
TIC 257060897 b,0.7267632617438374,0.0286217940544899,3.66003639,0.04922,0.4628194085558426,0.6376254537689516,1.863,1.187,0.054,True,False,False,False,False,5.147284132694135e-16,0.0,0.8633816308719187,0.3661466666666667,0.5000000000000002,0.7442779773753396,1,-5776.362374546232,0.901578947368421,0.4507894736842105,0.0004935534003172
TIC 365102760 b,0.2456812138415088,0.0025564465550933,4.21285367,0.0622,0.2024117140396209,0.4042280589365792,3.13,1.17,0.09,False,False,True,False,False,2.346844690391684e-16,0.0,0.6228406069207544,0.3748,0.5000000000000001,0.2963964086138091,0,-5776.595771941064,0.9105263157894736,0.4552631578947368,0.0007179164336273
TIC 393818343 b,0.5057342572078165,0.1970315821920744,16.24921,0.1291,0.1844674131495836,0.5870168695280804,1.086,1.082,0.318,False,False,True,False,False,1.2564691467056766e-16,0.0,0.7528671286039081,0.4194,0.5,0.6336803768591079,1,-5776.412983130473,0.9568421052631578,0.4784210526315789,0.0057473233178082
TIC 46432937 b,0.5550144546285339,0.1452271681399503,1.44044527,0.02065,0.2035601492965833,0.120649156523596,0.5299,0.563,0.323,False,False,True,False,False,5.3379542731722997e-20,0.0,0.7775072273142669,0.3471000000000001,0.5,0.5416272312188593,1,-5776.879350843477,0.77,0.385,8.149368445342566e-05
TOI-1011 b,0.0384801901197543,0.0003889001470835,2.470498,0.06,0.2024117140396209,0.5270125987614778,0.92,0.91,0.03,False,False,True,False,False,5.85800172153381e-17,0.0,0.5192400950598772,0.3733333333333334,0.5,0.0934634602590005,0,-5776.472987401239,0.9526315789473684,0.4763157894736842,0.0004061092602739
TOI-1052 b,0.1002922602216223,0.0022275971660153,9.139703,0.09103,0.2790697674418604,0.6702968182788811,1.264,1.204,0.14,False,False,True,False,False,2.8936941715082907e-16,0.0,0.5501461301108111,0.3940199999999999,0.5000000000000002,0.1931126487103514,0,-5776.329703181722,0.8926315789473684,0.4463157894736842,0.0022794168879178
TOI-1054.01,0.0813272724033252,0.0044787857012471,15.5077855,0.06,0.198105081826012,0.6651718983557549,1.17,0.8889,0.06,False,False,True,False,False,2.4043470013290604e-16,0.0,0.5406636362016626,0.3733333333333334,0.5000000000000001,0.1348421517688653,0,-5776.334828101645,0.9415263157894735,0.4707631578947368,0.0025492250136986
TOI-1062 b,0.07395683598808,0.001262495698069,4.11296,0.052,0.2624174562159058,0.4956224642323297,0.84,0.94,0.14,False,True,False,False,False,3.819903157541021e-17,0.0,0.53697841799404,0.368,0.5,0.1174231891608963,0,-5776.504377535769,0.968421052631579,0.4842105263157895,0.0005859559452054
TOI-1064 b,0.087973375828081,0.0017414719821608,6.443868,0.06152,0.1782945736434108,0.3687806961349562,0.726,0.748,0.05,False,False,True,False,False,8.74653041143903e-18,0.0,0.5439866879140405,0.3743466666666667,0.5,0.143217701725193,0,-5776.631219303866,0.8673684210526316,0.4336842105263158,0.0010861007105753
TOI-1064 c,0.0907592719453483,0.0001687140343965,12.226574,0.09429,0.1352282515073212,0.3687806961349562,0.726,0.748,0.05,False,False,True,False,False,8.74653041143903e-18,0.0,0.5453796359726741,0.3961933333333333,0.5,0.188104064916136,0,-5776.631219303866,0.8673684210526316,0.4336842105263158,0.0031584757875616
TOI-1117 b,0.0824451132203787,0.0010837732040048,2.22816,0.033,0.394774619580821,0.5611787315823191,1.05,0.97,0.136,False,True,False,False,False,9.81009607214977e-17,0.0,0.5412225566101894,0.3553333333333334,0.5,0.1011554214921903,0,-5776.438821268419,0.9842105263157894,0.4921052631578947,0.0002014500821917
TOI-1130 b,0.1346806654191404,0.0026422333522441,4.074554,0.0453,0.1900660350272753,0.2889173606662396,0.697,0.745,0.11,False,False,True,False,False,3.03703615032541e-18,0.0,0.5673403327095702,0.3635333333333334,0.5,0.167438799255132,0,-5776.711082639335,0.8657894736842106,0.4328947368421053,0.0005056912224657
TOI-1130 c,0.541247380032835,0.0478518754507065,8.3501898,0.0731,0.1398219925351708,0.2889173606662396,0.697,0.745,0.11,False,False,True,False,False,3.03703615032541e-18,0.0,0.7706236900164174,0.3820666666666666,0.5,0.5958686443957588,1,-5776.711082639335,0.8657894736842106,0.4328947368421053,0.0016723256832328
TOI-1135 b,0.3819659460094195,0.0044787857012471,8.0277283,0.082337403,0.2616365202411714,0.6311552423660047,1.15,1.156039,0.06,False,False,True,False,False,1.8829132254893088e-16,0.0,0.6909829730047097,0.3882249353333333,0.5000000000000001,0.4539403076499519,1,-5776.368844757635,0.9178742105263158,0.4589371052631579,0.0018109104115386
TOI-1136 b,0.1178434057604062,0.0003116920296478,4.1727,0.05106,0.3023255813953487,0.590006406149904,0.968,1.022,0.07,False,False,True,False,False,1.0187496513588012e-16,0.0,0.5589217028802032,0.3673733333333333,0.5,0.158595363429403,0,-5776.409993593851,0.988421052631579,0.4942105263157895,0.0005837207178082
TOI-1136 c,0.1178434057604062,0.0007148899762565,6.2574,0.0669,0.2581108240022968,0.590006406149904,0.968,1.022,0.07,False,False,True,False,False,1.0187496513588012e-16,0.0,0.5589217028802032,0.3779333333333333,0.5,0.1789915705481179,0,-5776.409993593851,0.988421052631579,0.4942105263157895,0.0011469042739726
TOI-1136 d,0.1178434057604062,0.0010051353066166,12.5199,0.1062,0.195233993683606,0.590006406149904,0.968,1.022,0.07,False,False,True,False,False,1.0187496513588012e-16,0.0,0.5589217028802032,0.4041333333333333,0.5,0.2295957965434132,0,-5776.409993593851,0.988421052631579,0.4942105263157895,0.0036427763835616
TOI-1136 e,0.1178434057604062,0.0006791454774436,18.801,0.06,0.1648004593741027,0.590006406149904,0.968,1.022,0.07,False,False,True,False,False,1.0187496513588012e-16,0.0,0.5589217028802032,0.3733333333333334,0.5,0.170106859113829,0,-5776.409993593851,0.988421052631579,0.4942105263157895,0.0030905753424657
TOI-1136 f,0.1178434057604062,0.0011981556002059,26.321,0.174,0.1421188630490956,0.590006406149904,0.968,1.022,0.07,False,False,True,False,False,1.0187496513588012e-16,0.0,0.5589217028802032,0.4493333333333332,0.5,0.3168977436803373,1,-5776.409993593851,0.988421052631579,0.4942105263157895,0.0125475452054794
TOI-1173 b,0.3753995018017668,0.003728866116154,7.06466,0.0696,0.2024117140396209,0.5003203074951954,0.934,0.911,0.139,False,True,False,False,False,4.9042898052963817e-17,0.0,0.6876997509008833,0.3797333333333333,0.5,0.4311977175734287,1,-5776.499679692506,0.953157894736842,0.476578947368421,0.0013471242082191
